date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:40	4722/4722	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20May%202026%2008:28:40%20GMT	https://pace-multimedia.com/cdn-cgi/l/email-protection	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/cdn-cgi/l/email-protection	(from https://pace-multimedia.com/)
15:28:40	3219733/3219733	---M--	200	added ('OK')	video/mp4	etag:%22ed31fbfb76caae808536cec5d53b1f32%22	https://pace-multimedia.com/videos/hero-video.mp4	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/videos/hero-video.mp4	(from https://pace-multimedia.com/)
15:28:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2009%20May%202026%2008:28:40%20GMT	https://pace-multimedia.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://pace-multimedia.com/)
15:28:41	9539/9539	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ff357efa46da4c6c3ecdd69a757e78e2%22	https://pace-multimedia.com/js/main.js	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/js/main.js	(from https://pace-multimedia.com/)
15:28:41	36342/36342	---M--	200	added ('OK')	image/jpeg	etag:%22bfa199d14e0b16124f0b416ddb1417e0%22	https://pace-multimedia.com/images/san_xuat_video.jpg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/san_xuat_video.jpg	(from https://pace-multimedia.com/css/style.css)
15:28:41	26088/26088	---M--	200	added ('OK')	image/jpeg	etag:%22e5c75ce544b4d90f84bc944403a2225d%22	https://pace-multimedia.com/images/quan_ly_youtube.jpg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/quan_ly_youtube.jpg	(from https://pace-multimedia.com/css/style.css)
15:28:41	37781/37781	---M--	200	added ('OK')	image/jpeg	etag:%22e675c2e619a4d4730fd5711c1b16f09a%22	https://pace-multimedia.com/images/sang_tao_noi_dung.jpg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/sang_tao_noi_dung.jpg	(from https://pace-multimedia.com/css/style.css)
15:28:42	28718/28718	---M--	200	added ('OK')	image/jpeg	etag:%22126de29cf3426e717c450961f60cd8c2%22	https://pace-multimedia.com/images/hop_tac_san_xuat.jpg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/hop_tac_san_xuat.jpg	(from https://pace-multimedia.com/css/style.css)
15:28:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:42%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/about)
15:28:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:42%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/about)
15:28:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:42%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/about)
15:28:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:42%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/services)
15:28:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:43%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/services)
15:28:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:43%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/services)
15:28:43	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	D:/hnl2/pace-multimedia-clone/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://pace-multimedia.com/careers)
15:28:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:43%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/careers)
15:28:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:44%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/careers)
15:28:44	14193/14193	---M--	200	added ('OK')	image/jpeg	etag:%22b3eeb4ce33921955ffe34f758a20d068%22	https://pace-multimedia.com/images/hero-cover.jpg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/hero-cover.jpg	(from https://pace-multimedia.com/careers)
15:28:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:44%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/careers)
15:28:45	17820/17820	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d486bd20137568633fbb2cd3748fb5c%22	https://pace-multimedia.com/js/careers.js	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/js/careers.js	(from https://pace-multimedia.com/careers)
15:28:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:45%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/contact)
15:28:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:45%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/contact)
15:28:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:45%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/contact)
